Fulham Newcastle 1 0
Birmingham Cardiff 0 0
Blackburn Norwich 1 4
Bristol_City Wigan 2 1
Derby Brighton 0 0
Huddersfield Brentford 2 1
Ipswich Barnsley 4 2
Nott'm_Forest Burton 4 3
Reading Preston 1 0
Rotherham Wolves 2 2
QPR Leeds 3 0
Sheffield_Weds Aston_Villa 1 0
Brighton Nott'm_Forest 3 0
Aston_Villa Rotherham 3 0
Barnsley Derby 2 0
Brentford Ipswich 2 0
Burton Bristol_City 1 2
Leeds Birmingham 1 2
Newcastle Huddersfield 1 2
Norwich Sheffield_Weds 0 0
Preston Fulham 1 2
Wigan Blackburn 3 0
Wolves Reading 2 0
Cardiff QPR 0 2
Aston_Villa Huddersfield 1 1
Brentford Nott'm_Forest 1 0
Brighton Rotherham 3 0
Burton Sheffield_Weds 3 1
Leeds Fulham 1 1
Norwich Bristol_City 1 0
Preston Derby 0 1
Wigan Birmingham 1 1
Wolves Ipswich 0 0
Barnsley QPR 3 2
Cardiff Blackburn 2 1
Newcastle Reading 4 1
Birmingham Wolves 1 3
Blackburn Burton 2 2
Bristol_City Newcastle 0 1
Derby Aston_Villa 0 0
Fulham Cardiff 2 2
Huddersfield Barnsley 2 1
Nott'm_Forest Wigan 4 3
QPR Preston 0 2
Reading Brighton 2 2
Rotherham Brentford 1 0
Sheffield_Weds Leeds 0 2
Ipswich Norwich 1 1
Burton Derby 1 0
Barnsley Rotherham 4 0
Birmingham Norwich 3 0
Blackburn Fulham 0 1
Brentford Sheffield_Weds 1 1
Bristol_City Aston_Villa 3 1
Cardiff Reading 0 1
Huddersfield Wolves 1 0
Ipswich Preston 1 0
Newcastle Brighton 2 0
Nott'm_Forest Leeds 3 1
Wigan QPR 0 1
Reading Ipswich 2 1
Brighton Brentford 0 2
Derby Newcastle 0 2
Fulham Birmingham 0 1
Leeds Huddersfield 0 1
Norwich Cardiff 3 2
Preston Barnsley 1 2
QPR Blackburn 1 1
Rotherham Bristol_City 2 2
Sheffield_Weds Wigan 2 1
Wolves Burton 1 1
Aston_Villa Nott'm_Forest 2 2
Brighton Huddersfield 1 0
Derby Ipswich 0 1
Fulham Burton 1 1
Leeds Blackburn 2 1
Norwich Wigan 2 1
Preston Cardiff 3 0
QPR Newcastle 0 6
Reading Birmingham 0 0
Sheffield_Weds Bristol_City 3 2
Wolves Barnsley 0 4
Aston_Villa Brentford 1 1
Rotherham Nott'm_Forest 2 2
Barnsley Reading 1 2
Birmingham Sheffield_Weds 2 1
Blackburn Rotherham 4 2
Brentford Preston 5 0
Bristol_City Derby 1 1
Burton Brighton 0 1
Cardiff Leeds 0 2
Huddersfield QPR 2 1
Ipswich Aston_Villa 0 0
Newcastle Wolves 0 2
Nott'm_Forest Norwich 1 2
Wigan Fulham 0 0
Preston Wigan 1 0
Aston_Villa Newcastle 1 1
Brighton Barnsley 2 0
Derby Blackburn 1 2
Fulham Bristol_City 0 4
Leeds Ipswich 1 0
Norwich Burton 3 1
QPR Birmingham 1 1
Reading Huddersfield 1 0
Rotherham Cardiff 1 2
Sheffield_Weds Nott'm_Forest 2 1
Wolves Brentford 3 1
Barnsley Aston_Villa 1 1
Birmingham Preston 2 2
Blackburn Sheffield_Weds 0 1
Brentford Reading 4 1
Bristol_City Leeds 1 0
Burton QPR 1 1
Cardiff Derby 0 2
Huddersfield Rotherham 2 1
Ipswich Brighton 0 0
Nott'm_Forest Fulham 1 1
Wigan Wolves 2 1
Newcastle Norwich 4 3
Birmingham Blackburn 1 0
Brentford Wigan 0 0
Bristol_City Nott'm_Forest 2 1
Burton Cardiff 2 0
Fulham QPR 1 2
Ipswich Huddersfield 0 1
Leeds Barnsley 2 1
Preston Aston_Villa 2 0
Reading Derby 1 1
Rotherham Newcastle 0 1
Sheffield_Weds Brighton 1 2
Wolves Norwich 1 2
Cardiff Bristol_City 2 1
Nott'm_Forest Birmingham 3 1
Aston_Villa Wolves 1 1
Barnsley Fulham 2 4
Blackburn Ipswich 0 0
Brighton Preston 2 2
Derby Leeds 1 0
Newcastle Brentford 3 1
Norwich Rotherham 3 1
QPR Reading 1 1
Wigan Burton 0 0
Huddersfield Sheffield_Weds 0 1
Barnsley Newcastle 0 2
Birmingham Rotherham 4 2
